Date,Actual_Close,Actual_Next_Close,Predicted_Next_Close,Prediction_Error_Absolute,Prediction_Error_Percentage,Actual_Direction,Predicted_Direction,Direction_Correct
2018-08-29,27317.020424788232,27305.27795005409,27383.895,78.61658119591084,0.28791716143565244,0,1,0
2018-08-30,27305.27795005409,27555.576526853827,27384.242,171.3343393538271,0.6217773712223225,1,1,1
2018-08-31,27555.576526853827,27252.639861085245,27613.957,361.3171701647552,1.3258061310995763,0,1,0
2018-09-04,27252.639861085245,27564.14573939496,27302.656,261.4894893949604,0.948658056981744,1,1,1
2018-09-05,27564.14573939496,27687.268718456195,27646.445,40.82340595619462,0.1474446843107422,1,1,1
2018-09-06,27687.268718456195,27606.648086884168,27707.543,100.89488186583185,0.3654731336752421,0,1,0
2018-09-07,27606.648086884168,27652.6437894232,27640.031,12.61253942320036,0.04561060967351159,1,1,1
2018-09-10,27652.6437894232,27842.78907490805,27699.99,142.79884053305068,0.5128754886906827,1,1,1
2018-09-11,27842.78907490805,28270.488031909805,27800.342,470.1462350348047,1.6630283654959745,1,0,0
2018-09-12,28270.488031909805,27795.63604993857,28063.455,267.81902818642993,0.9635290507663048,0,0,1
2018-09-13,27795.63604993857,27673.066479751003,27746.213,73.1464108739965,0.2643234746952216,0,0,1
2018-09-14,27673.066479751003,27807.94250121061,27706.973,100.96984496061123,0.3630971437610515,1,1,1
2018-09-17,27807.94250121061,27909.95037292665,27774.227,135.72381042665074,0.48629183718759394,1,0,0
2018-09-18,27909.95037292665,28262.069959853583,27917.19,344.880506728583,1.2202945757988977,1,1,1
2018-09-19,28262.069959853583,28055.55710091592,28138.58,83.02297720907882,0.2959234668213678,0,0,1
2018-09-20,28055.55710091592,27582.59551171845,27891.844,309.2482382815506,1.1211716393773263,0,0,1
2018-09-21,27582.59551171845,27850.727785141404,27837.887,12.841066391403729,0.04610675344094435,1,1,1
2018-09-24,27850.727785141404,28279.79785916068,27915.885,363.9130935356807,1.2868306037689665,1,1,1
2018-09-25,28279.79785916068,28057.781510599936,28204.832,147.05052065006385,0.5240988871287264,0,0,1
2018-09-26,28057.781510599936,27661.20686042401,27923.178,261.9708739509915,0.9470695739085907,0,0,1
2018-09-27,27661.20686042401,27945.403635335897,27882.723,62.68097908589698,0.22429799155464433,1,1,1
2018-09-28,27945.403635335897,27672.36634760746,27883.096,210.72935551753835,0.7615154875822822,0,0,1
2018-10-01,27672.36634760746,28512.249954696024,28034.357,477.89253282102436,1.6760954802948285,1,1,1
2018-10-02,28512.249954696024,28232.02906864624,28389.732,157.70335322876053,0.558597303953267,0,0,1
2018-10-03,28232.02906864624,28425.508548697304,28329.783,95.72534557230392,0.33675860330981083,1,1,1
2018-10-04,28425.508548697304,28663.374971085257,28568.145,95.23043983525713,0.3322373584105944,1,1,1
2018-10-05,28663.374971085257,28088.46745363683,28485.648,397.1809838631707,1.4140357942944466,0,0,1
2018-10-08,28088.46745363683,28203.343385547338,28380.492,177.14880195266232,0.6281127720603557,1,1,1
2018-10-09,28203.343385547338,28505.59853475687,28401.682,103.91689413187123,0.36454906921237024,1,1,1
2018-10-10,28505.59853475687,29344.982466103967,28814.48,530.5019973539675,1.807811601069259,1,1,1
2018-10-11,29344.982466103967,29043.151423595344,29084.969,41.81732640465634,0.14398343277128994,0,0,1
2018-10-12,29043.151423595344,29050.209353998864,29066.459,16.249630376136338,0.055936362379087355,1,1,1
2018-10-15,29050.209353998864,29230.94110959358,28992.61,238.3317345935793,0.8153406135642993,1,0,0
2018-10-16,29230.94110959358,28899.498785236483,29099.932,200.43285538851705,0.6935513203118582,0,0,1
2018-10-17,28899.498785236483,29148.79205858151,29033.604,115.18854295651181,0.3951743273786877,1,1,1
