Date,Close,High,Low,Open,Volume
2021-07-02,42723.16975059704,42850.19482008634,42620.114380180145,42629.69874905128,23
2021-07-06,42853.401731850376,43242.870670060816,42690.92321262661,42690.92321262661,332
2021-07-07,43302.35091371954,43468.20563394766,43198.99136706309,43235.04661345253,244
2021-07-08,43290.815758205,43745.470951489464,43228.271267432814,43228.271267432814,148
2021-07-09,43482.51167014977,43484.91343234991,43213.4497875331,43328.76076613114,218
2021-07-12,43240.375071052,43240.375071052,43096.67955710777,43170.92165461375,147
2021-07-13,43363.563107556714,43425.8733782971,43152.66365604844,43332.40650943544,78
2021-07-14,43789.51164916903,43902.32673500074,43520.67114893149,43520.67114893149,707
2021-07-15,43776.23340134164,43886.36772763876,43656.52154174634,43852.84782242151,99
2021-07-16,43483.04596977668,43888.04158205941,43483.04596977668,43856.886948300074,78
2021-07-19,43399.176846877795,43511.9536010867,43269.60791720517,43269.60791720517,33
2021-07-20,43662.498505588956,43978.3512068607,43662.498505588956,43710.72038191227,128
2021-07-21,43199.264105995004,43297.50356784348,43129.776658615534,43297.50356784348,135
2021-07-22,43199.209952703306,43199.209952703306,42926.37225290883,42926.37225290883,2
2021-07-23,43119.88712617282,43119.88712617282,43086.37491684114,43086.37491684114,1
2021-07-26,43053.46010860216,43144.41760850415,43017.55629367136,43144.41760850415,17
2021-07-27,42980.38813692724,43080.702408404504,42980.38813692724,43080.702408404504,1
2021-07-28,43103.50361144615,43103.50361144615,43103.50361144615,43103.50361144615,209783
2021-07-29,43796.69968278274,43830.18398293905,43196.38506827055,43208.34353835863,30496
2021-07-30,43271.423404288114,43698.74302571623,43183.09605358204,43639.06159574393,3100
2021-08-02,43477.01553810988,43491.36301526877,43158.96860445939,43340.71012641974,1334
2021-08-03,43258.29989238076,43339.55467262975,43160.317473818206,43310.87788772875,3341
2021-08-04,43199.40639378446,43695.7056273314,43099.19352578784,43170.77497797307,2860
2021-08-05,43052.91464183061,43258.03015888279,42835.87377016535,43188.86543129778,588
2021-08-06,41919.532702872144,42874.630565348896,41881.42461827072,42867.486934932655,859
2021-08-09,41274.64086612614,42002.707520551594,40536.99381028823,41995.52148861025,1621
2021-08-10,41389.962319954626,41543.185196734834,41181.670040046905,41385.172278468344,1363
2021-08-11,41889.81951378498,41932.89458575206,41337.00084686816,41337.00084686816,542
2021-08-12,41669.34207463733,41750.346523105996,41585.95574115464,41686.018178020066,739
2021-08-13,42383.21300285313,42433.35320606397,41958.23660134211,41979.724843511,436
2021-08-16,42637.67584589483,42659.15155729215,42279.757031775305,42399.06330314848,219
2021-08-17,42545.39763000752,42764.67806742157,42426.22284673019,42609.75084916104,200
2021-08-18,42595.81516113591,42832.51229618917,42533.65301418952,42744.05111613634,263
2021-08-19,42508.13891953071,42725.433732452446,42395.912100741305,42503.36442653874,245
2021-08-20,42618.57325608221,42774.11549424309,42551.56927736123,42692.75435467925,235
2021-08-23,43075.71760288667,43113.94151406905,42445.06389342748,42445.06389342748,32
2021-08-24,43019.50506605599,43019.50506605599,42909.9078819074,42909.9078819074,22
2021-08-25,42627.300322198724,42739.341167239436,42527.1814401773,42717.88628968483,812
2021-08-26,42696.83884573182,42696.83884573182,42430.014538570715,42582.486817591416,61
2021-08-27,43310.84445650569,43310.84445650569,42988.98141124487,42996.13508750763,1219
2021-08-30,42746.13585889558,43013.15267615328,42717.78136701221,42963.52798862923,684
2021-08-31,42838.08255186673,42859.325152499405,42510.010709815724,42859.325152499405,82
2021-09-01,42551.61229806369,42617.32659609158,42467.12453264644,42561.00046419139,114
2021-09-02,42441.60460895286,42563.62565082856,42397.02291699405,42547.198254054994,26
2021-09-03,43003.26860105922,43073.73110806829,42721.41857302295,42768.393577695664,53
2021-09-07,42213.368211312794,42913.82773789926,42138.14917448489,42913.82773789926,48
